trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.8, 'e': 0.5203405226503064}",25,0,-14.289029289345615,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.8, 'e': 0.5151371174238033}",20,5,-1.2241038347966353,"{0: 11, 1: 4, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.8, 'e': 0.5099857462495653}",30,0,-15.840257867255307,"{0: 21, 1: 9, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.8, 'e': 0.5048858887870696}",25,0,14.136365591418098,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.8, 'e': 0.4998370298991989}",20,0,-34.96775105496084,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.8, 'e': 0.49483865960020695}",20,0,-35.04516145211371,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.8, 'e': 0.4898902730042049}",20,0,0.5738751001758815,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.8, 'e': 0.48499137027416284}",20,0,14.473323768358991,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.8, 'e': 0.4801414565714212}",25,0,-18.484591252987407,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.8, 'e': 0.475340042005707}",20,12,6.038042229951756,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.47058664158564995}",25,0,12.172349787733339,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.8, 'e': 0.4658807751697934}",20,0,-3.269275579057063,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.8, 'e': 0.4612219674180955}",30,0,-61.842358044554416,"{0: 17, 1: 12, 2: 0, 3: 1, 4: 0}",0
78,False,"{'a': 0.8, 'e': 0.45660974774391455}",25,0,-5.205826668372147,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.8, 'e': 0.4520436502664754}",20,0,20.203829977040556,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
